"Year","Team","Runs","OppRuns","AtBat","Hits","Doubles","Triples","HomeRuns","RBI","SacHits","SacFlies","HitByPitch","Walks","Intentional","StrikeOuts","Stolen","Caught","GroundDP","CatchInter","LOB","NumPitchers","IndivER","TeamER","Wild","Balks","PutOut","Assists","Errors","PassBalls","DBPLays","TriPlays","OppAtBat","OppHits","OppDoubles","OppTriples","OppHomeRuns","OppRBI","OppSacHits","OppSacFlies","OppHitByPitch","OppWalks","OppIntentional","OppStrikeOuts","OppStolen","OppCaught","OppGroundDP","OppCatchInter","OppLOB","OppNumPitchers","OppIndivER","OppTeamER","OppWild","OppBalks","OppPutOut","OppAssists","OppErrors","OppPassBalls","OppDBPLays","OppTriPlays","Attendance","Wins","Losses"
"1932","CLE",845,747,5413,1544,310,74,78,790,110,0,33,566,29,455,54,58,130,0,1185,245,635,633,21,1,4131,1823,193,6,130,0,5511,1508,272,51,70,683,66,0,12,445,35,442,58,43,99,0,1156,293,717,711,19,4,4092,1787,210,6,163,0,NA,87,66
"1932","DET",799,787,5409,1479,291,80,80,742,85,0,13,486,-2,524,108,50,57,1,1105,273,655,576,27,2,4085,1473,186,6,155,0,5294,1419,269,59,89,743,106,0,31,594,-9,527,67,54,83,0,1153,285,660,602,33,0,4090,1370,199,9,126,0,NA,76,77
"1932","NY1",755,706,5530,1527,263,55,116,717,49,0,23,348,6,391,32,46,89,0,1057,310,584,529,24,3,4126,1836,192,10,147,0,5473,1533,211,49,112,655,92,0,24,387,7,507,63,46,86,0,1144,300,649,577,18,1,4138,1701,164,12,140,0,527100,72,82
"1932","NYA",1002,724,5478,1564,279,82,160,956,76,0,27,765,14,528,77,68,96,0,1211,249,621,567,27,1,4227,1530,190,10,128,0,5463,1427,232,76,93,678,92,0,20,561,0,779,70,41,79,0,1185,324,887,801,27,8,4133,1785,176,8,178,0,1149246,109,47
"1932","PHA",981,752,5536,1606,303,52,172,922,94,0,21,650,19,631,42,22,109,0,1211,246,678,676,22,1,4160,1720,125,15,146,0,5438,1477,293,72,112,713,76,0,18,514,6,601,70,52,103,1,1135,303,851,850,31,1,4109,1679,190,10,158,1,NA,94,60
"1932","PHI",844,796,5510,1608,330,67,122,780,125,0,27,446,8,547,73,53,71,0,1122,314,690,643,21,3,4149,1625,195,5,142,0,5534,1589,317,39,107,746,85,0,30,451,-2,459,60,38,79,0,1155,298,727,676,33,0,4142,1631,195,22,143,0,NA,78,76
"1932","PIT",701,711,5421,1543,276,90,48,656,96,0,31,358,15,384,73,55,90,0,1093,280,573,543,25,1,4131,1492,186,9,129,0,5455,1472,296,72,86,653,85,0,18,343,1,377,63,37,84,0,1059,288,596,571,26,1,4112,1700,190,6,138,1,NA,86,68
"1932","SLA",736,898,5448,1502,276,69,67,686,90,0,20,507,0,528,70,68,87,0,1160,304,768,705,23,5,4130,1678,190,6,158,1,5490,1592,336,65,103,840,96,0,21,574,0,499,63,60,91,1,1154,273,638,567,14,3,4169,1601,173,9,151,0,NA,63,91
"1932","SLN",684,717,5457,1467,307,51,76,626,69,0,25,422,-2,514,92,65,68,0,1088,295,619,573,40,3,4191,1622,176,7,159,0,5441,1527,308,54,76,667,109,0,23,455,27,681,70,61,95,0,1120,282,573,521,26,4,4201,1673,177,8,132,0,330494,72,84
"1932","WS1",840,716,5515,1564,303,100,61,778,95,0,26,505,-2,444,72,51,53,1,1192,293,642,583,19,3,4151,1484,125,6,160,0,5395,1463,268,107,73,683,76,0,9,527,9,439,46,52,86,1,1141,288,699,607,26,2,4110,1543,205,10,107,0,NA,93,61
"1933","BOS",700,758,5201,1408,295,56,50,643,115,0,16,529,10,466,60,39,98,0,1137,295,641,584,19,1,3983,1457,205,3,135,0,5157,1397,286,58,75,698,115,0,21,596,9,473,69,62,75,0,1148,277,590,548,21,2,4024,1564,181,5,148,0,356573,63,86
"1933","BRO",617,695,5367,1413,224,51,62,565,90,0,18,397,24,453,86,56,114,1,1067,290,571,571,37,2,4159,1787,180,6,124,0,5457,1503,284,59,51,644,127,0,41,375,26,415,51,61,88,0,1146,292,519,519,33,1,4189,1876,160,17,144,1,NA,66,91
"1933","BSN",552,531,5243,1320,217,56,54,511,134,0,25,326,1,428,25,41,116,0,1003,258,466,411,13,3,4195,1707,140,7,150,0,5324,1393,240,57,54,497,134,0,11,356,6,383,30,46,113,2,1101,274,464,435,26,3,4173,1672,157,12,146,0,NA,84,72
"1933","CHA",683,814,5318,1448,231,52,43,641,108,0,26,540,14,417,46,46,132,0,1173,318,672,652,31,1,4114,1786,189,12,147,0,5428,1505,264,74,85,755,105,0,28,518,3,421,70,40,114,0,1151,273,577,544,29,5,4136,1848,156,9,190,0,NA,67,84
"1933","CHN",646,536,5255,1423,256,51,72,608,108,0,30,392,12,475,62,53,129,0,1083,251,439,423,33,1,4089,1782,168,6,166,0,5171,1316,210,46,51,482,108,0,30,413,12,489,37,42,138,0,1097,297,549,507,31,1,4056,1759,175,4,163,0,NA,86,68
"1933","CIN",496,643,5156,1267,208,37,34,455,115,0,33,349,29,354,30,37,124,1,1061,266,513,513,25,2,4050,1855,177,13,140,0,5291,1470,253,74,47,603,130,0,14,258,21,310,59,57,103,0,1000,255,387,387,24,3,4097,1845,160,4,164,0,NA,59,94
"1933","CLE",654,669,5240,1366,220,76,50,613,101,0,17,448,22,426,38,42,110,0,1097,275,554,554,14,4,4050,1892,157,5,130,0,5237,1383,200,66,60,614,92,0,16,465,28,439,41,66,95,0,1091,275,541,541,25,2,4055,1829,201,8,133,0,NA,75,76
"1933","DET",722,733,5504,1479,282,78,57,678,94,0,21,475,-12,528,70,52,56,0,1171,284,618,515,16,6,4194,1531,179,6,168,0,5371,1415,250,59,84,690,116,0,24,562,-7,575,93,55,86,0,1146,286,613,526,22,2,4201,1503,170,11,124,0,NA,76,79
"1933","NY1",636,515,5461,1437,204,41,82,597,86,0,15,377,12,477,32,44,112,2,1118,282,423,402,32,2,4224,1925,177,14,158,0,5285,1280,140,35,61,458,99,0,25,402,22,555,54,58,123,0,1072,281,517,495,29,1,4187,1645,181,7,141,0,NA,93,63
"1933","NYA",927,768,5275,1496,241,75,144,855,78,0,17,702,17,509,76,61,98,0,1129,275,639,610,34,2,4065,1462,162,12,123,0,5316,1427,249,67,66,702,86,0,14,612,18,713,36,45,81,0,1195,328,801,755,30,2,4016,1684,164,7,170,0,NA,92,60
"1933","PHA",875,853,5329,1520,298,57,139,831,80,0,16,625,14,620,34,34,111,0,1163,294,718,718,34,2,4031,1748,204,9,121,0,5382,1523,286,71,77,789,105,0,15,645,4,423,77,38,89,0,1263,315,794,791,23,2,4012,1690,146,6,147,0,NA,79,73
"1933","PHI",607,760,5261,1439,240,41,60,570,125,0,30,381,9,479,55,53,102,1,1126,322,647,607,31,4,4010,1737,184,11,156,0,5335,1563,280,41,87,710,112,0,41,410,3,342,71,36,124,1,1129,273,501,471,24,2,4065,1709,165,8,140,0,NA,60,92
"1933","PIT",667,619,5429,1548,249,84,39,618,147,0,20,366,29,336,34,44,90,0,1198,298,502,491,18,3,4118,1700,167,7,135,0,5364,1417,206,63,54,588,98,0,24,313,5,401,71,39,110,1,1063,288,560,539,23,0,4097,1878,182,11,115,1,NA,87,67
"1933","SLA",669,820,5283,1337,245,64,64,612,87,0,16,522,-1,557,73,64,54,0,1100,300,732,655,26,1,4082,1667,150,4,165,0,5408,1574,304,61,96,780,95,0,16,530,19,429,45,53,90,0,1146,278,551,501,17,3,4139,1555,161,8,121,0,158200,56,97
"1933","SLN",687,609,5386,1486,256,61,57,633,101,0,32,391,14,528,100,56,106,0,1094,282,522,494,27,0,4148,1528,163,10,121,2,5331,1391,241,47,55,575,98,0,17,452,35,635,51,45,94,1,1142,289,586,559,26,6,4129,1637,176,11,137,0,321850,83,71
"1933","WS1",850,665,5524,1587,281,86,60,795,128,0,21,540,6,397,66,53,50,0,1255,303,590,514,15,2,4171,1577,138,7,157,0,5375,1417,254,88,64,640,77,0,16,453,-4,447,32,32,79,0,1085,312,697,596,22,1,4107,1447,205,4,113,0,NA,100,53
"1934","BOS",820,775,5340,1467,287,70,51,760,84,0,11,610,9,536,115,48,106,1,1146,291,655,586,29,2,4083,1540,189,7,144,0,5398,1527,287,49,70,716,118,0,23,544,-4,537,65,34,91,0,1225,297,698,630,26,5,4080,1598,211,12,161,0,NA,77,76
"1934","BRO",748,795,5427,1526,283,52,79,699,77,0,22,548,34,559,56,48,105,0,1248,319,686,675,36,1,4060,1811,180,16,143,0,5426,1542,296,77,81,747,71,0,27,478,40,528,46,40,113,0,1147,325,649,634,28,1,4078,1760,188,14,135,1,NA,71,82
"1934","BSN",683,714,5370,1459,233,44,83,649,81,0,28,375,12,441,30,26,126,2,1100,290,620,537,13,2,4074,1564,168,6,121,1,5421,1512,302,54,78,679,83,0,17,405,16,462,43,38,103,0,1138,300,582,503,30,3,4073,1615,171,13,144,0,NA,79,73
"1934","CHA",704,946,5301,1396,237,40,71,670,111,0,17,566,8,523,37,28,108,0,1169,271,814,742,46,3,4064,1630,206,16,130,0,5482,1599,287,55,139,876,100,0,21,628,19,507,114,51,73,0,1221,279,614,563,29,7,4122,1681,164,14,162,0,NA,54,99
"1934","CHN",705,639,5347,1494,263,44,101,667,93,0,26,375,19,631,59,51,97,0,1083,281,569,536,34,3,4085,1581,138,13,136,1,5315,1432,240,42,80,608,87,0,19,417,26,634,39,53,108,0,1114,302,607,564,32,3,4053,1583,172,9,132,0,NA,87,65
"1934","CIN",590,801,5361,1428,227,65,55,560,78,0,33,313,38,532,34,52,126,0,1090,334,652,652,23,2,4042,1817,182,15,136,0,5500,1645,298,78,61,744,98,0,26,388,27,440,49,53,105,2,1171,273,497,497,16,1,4105,1824,180,8,147,0,NA,52,100
"1934","CLE",814,763,5396,1550,339,46,100,765,87,0,19,525,34,435,53,34,118,1,1139,297,657,632,41,4,4100,1770,174,9,165,0,5364,1477,284,52,70,707,101,0,27,582,45,554,66,33,127,1,1212,298,721,687,23,5,4075,1730,169,7,162,1,NA,85,69
"1934","DET",958,708,5472,1643,349,53,74,872,101,0,24,636,32,529,126,55,104,0,1231,282,620,601,20,3,4111,1617,162,7,149,2,5374,1467,293,52,86,670,70,0,13,487,7,641,41,44,110,0,1125,318,789,764,42,2,4044,1589,214,14,154,0,NA,101,53
"1934","NY1",760,583,5396,1485,241,41,126,717,108,0,24,406,34,526,21,17,96,0,1115,282,483,461,35,1,4107,1840,181,12,147,1,5319,1385,168,33,75,549,70,0,16,351,27,501,45,46,122,2,1068,312,657,633,21,3,4059,1503,149,8,116,0,810925,93,60
"1934","NYA",842,669,5369,1494,227,61,135,790,89,0,20,700,20,602,72,48,111,0,1238,265,570,555,13,3,4148,1400,159,8,152,0,5311,1349,229,55,71,624,74,0,11,542,20,657,68,34,107,0,1121,299,731,698,38,2,4098,1560,167,8,161,0,NA,94,60
"1934","PHA",764,838,5316,1491,236,50,144,711,99,0,13,491,32,585,59,39,115,0,1116,297,738,734,33,3,4011,1794,196,12,167,0,5195,1430,273,49,84,784,115,0,23,693,15,480,80,42,127,0,1177,284,669,665,24,1,4039,1758,163,8,158,1,NA,69,84
"1934","PHI",675,794,5218,1480,286,35,56,636,79,0,29,398,0,535,52,55,115,1,1097,324,684,574,20,4,3899,1455,197,11,148,0,5202,1498,273,35,126,742,87,0,30,439,17,417,36,33,119,0,1065,298,584,497,26,2,3953,1530,150,8,149,2,NA,56,93
"1934","PIT",735,713,5361,1542,281,77,52,681,59,0,18,440,11,398,44,28,110,2,1161,310,624,547,18,2,3983,1312,146,4,118,0,5353,1519,266,68,78,676,82,0,31,357,-8,485,64,24,98,1,1128,301,643,552,22,1,3984,1503,159,7,139,0,NA,74,77
"1934","SLA",674,800,5289,1415,252,59,62,633,101,0,19,514,0,631,43,32,91,0,1169,326,673,596,27,3,4050,1517,187,11,160,0,5293,1498,278,56,94,739,101,0,12,632,25,499,68,48,92,0,1188,281,588,528,16,2,4080,1492,162,6,142,0,NA,68,86
"1934","SLN",799,656,5502,1582,295,75,104,748,76,0,18,392,27,535,69,50,105,1,1087,300,567,547,25,2,4158,1452,164,8,150,0,5446,1463,266,46,77,612,73,0,32,412,30,690,43,40,112,1,1150,329,666,649,29,3,4103,1514,187,18,137,0,395112,96,58
"1934","WS1",729,806,5444,1513,278,70,51,680,131,0,21,570,15,447,47,44,85,0,1265,318,711,673,28,5,4143,1663,161,8,169,0,5510,1622,274,81,74,765,124,0,14,504,23,413,50,42,111,1,1204,291,628,584,39,2,4172,1523,184,9,136,0,NA,67,88
"1935","BOS",718,732,5288,1458,283,63,69,661,137,0,21,612,14,471,91,69,98,1,1216,292,620,586,24,1,4128,1640,196,10,140,0,5421,1520,316,58,67,676,104,0,20,520,19,470,49,58,87,0,1205,288,619,583,19,3,4125,1612,175,5,148,1,695827,78,76
"1935","BRO",711,767,5410,1496,236,62,59,665,70,0,27,430,43,520,62,48,109,0,1131,299,632,632,41,2,4076,1822,186,12,147,0,5405,1519,274,54,88,700,83,0,18,436,33,480,43,53,113,0,1099,297,597,593,23,4,4095,1775,203,9,146,0,501138,70,84
"1935","BSN",575,852,5308,1396,233,33,75,546,80,0,19,353,-5,436,21,23,130,1,1081,289,734,589,14,2,3991,1578,197,7,109,0,5440,1645,297,81,81,792,118,0,20,404,10,356,62,41,81,0,1139,260,499,423,25,1,4105,1651,161,5,167,0,NA,38,115
"1935","CHA",738,750,5315,1460,262,42,74,692,112,0,19,584,19,407,47,28,112,0,1204,255,659,624,33,3,4082,1710,146,11,132,0,5299,1443,263,62,105,701,86,0,23,573,40,436,73,49,91,0,1149,277,651,617,20,6,4088,1726,149,4,163,1,NA,74,79
"1935","CHN",847,597,5486,1581,303,63,88,785,150,0,33,464,27,471,69,43,104,0,1170,272,506,486,33,2,4180,1703,191,13,161,0,5383,1422,205,48,85,553,77,0,20,401,18,589,45,65,122,1,1105,332,697,664,31,2,4116,1610,215,12,133,1,NA,100,54
"1935","CIN",646,772,5297,1403,244,68,73,605,80,0,30,392,43,547,72,78,82,0,1060,315,645,645,22,1,4065,1795,205,20,144,1,5350,1490,269,83,65,713,109,0,29,441,26,500,53,52,117,0,1092,287,563,563,27,2,4093,1733,156,12,115,0,463358,69,85
"1935","CLE",776,739,5533,1573,324,77,93,735,88,0,17,461,30,570,65,57,103,0,1147,294,645,621,15,3,4188,1893,176,9,146,1,5498,1527,290,61,68,693,115,0,17,458,26,498,54,38,106,1,1162,302,687,649,36,2,4176,1721,178,6,144,0,NA,85,71
"1935","DET",919,665,5423,1573,301,83,106,840,112,0,19,628,30,455,70,45,77,0,1224,247,583,526,20,4,4092,1547,128,6,154,0,5322,1439,269,47,78,633,71,0,30,523,7,584,44,43,104,0,1189,298,775,724,40,4,4039,1547,181,11,116,0,NA,93,59
"1935","NY1",770,675,5623,1608,250,56,123,709,116,0,32,392,28,479,33,35,105,0,1220,290,589,543,41,1,4211,1759,175,8,131,0,5445,1435,175,47,106,621,101,0,30,411,36,524,50,39,102,1,1102,305,632,582,28,2,4173,1684,229,14,133,1,NA,92,64
"1935","NYA",818,632,5215,1462,256,70,104,756,71,0,28,605,29,471,68,51,69,0,1160,269,534,493,21,2,3993,1492,151,9,115,1,5085,1276,222,53,91,580,85,0,12,517,12,594,44,36,68,0,1074,306,715,647,28,1,3941,1640,171,12,125,0,816224,89,60
"1935","PHA",710,869,5269,1470,244,44,112,675,86,0,17,477,23,602,42,40,120,0,1109,297,749,749,35,4,3979,1691,190,11,150,0,5220,1486,259,73,73,797,125,0,25,704,20,470,84,53,115,0,1226,276,629,629,24,0,4030,1803,138,8,164,1,NA,58,91
"1935","PHI",685,871,5442,1466,249,32,92,626,84,0,26,391,-4,661,53,47,79,0,1112,358,733,628,21,2,4121,1585,230,9,147,1,5605,1657,328,49,106,819,94,0,47,502,21,473,48,32,106,0,1256,286,584,487,27,1,4146,1474,181,17,109,0,NA,66,90
"1935","PIT",743,647,5415,1543,255,90,66,683,77,0,24,457,10,437,31,33,124,1,1168,271,516,458,27,3,4094,1443,189,9,95,0,5394,1428,246,60,63,594,93,0,20,312,-12,549,71,40,71,0,1078,321,636,522,28,2,4063,1516,176,9,149,0,NA,86,67
"1935","SLA",718,930,5363,1446,292,51,73,675,116,0,14,593,5,562,45,26,85,0,1196,374,810,697,34,1,4141,1656,187,6,138,1,5611,1669,302,73,92,869,99,0,18,641,29,437,57,43,71,0,1298,273,617,510,25,2,4172,1627,153,15,165,0,NA,67,88
"1935","SLN",829,625,5457,1548,286,59,86,760,97,0,19,404,23,522,75,57,85,0,1044,293,543,504,24,3,4157,1449,164,10,137,0,5416,1445,262,41,68,587,79,0,26,376,33,602,44,42,106,0,1115,299,690,651,34,2,4104,1691,216,10,119,0,578864,96,58
"1935","WS1",823,903,5590,1590,255,94,32,764,74,0,37,596,-2,409,55,38,73,0,1306,297,810,677,29,4,4136,1651,171,15,186,0,5540,1672,296,97,89,849,111,0,27,620,-5,458,78,34,95,0,1259,305,717,614,19,4,4168,1604,200,16,136,0,NA,67,87
"1936","BOS",775,764,5383,1485,288,62,86,720,108,0,23,584,31,467,56,46,107,0,1198,298,668,646,31,3,4119,1580,167,7,139,2,5417,1502,319,63,78,715,86,0,18,552,36,584,85,49,97,1,1191,273,649,635,35,1,4125,1754,177,12,151,1,728196,74,81
"1936","BRO",662,752,5574,1518,263,43,33,603,79,0,25,390,24,458,55,49,105,6,1181,325,622,590,33,4,4202,1598,207,13,113,0,5501,1467,267,58,84,691,101,0,25,528,30,651,77,49,86,0,1201,304,569,533,37,0,4231,1848,204,8,130,0,523601,67,89
"1936","BSN",631,715,5478,1450,207,45,67,596,99,0,31,433,30,582,26,45,144,0,1150,291,623,610,22,1,4238,1918,189,5,175,0,5564,1566,252,61,69,668,91,0,23,456,27,421,38,55,146,2,1183,292,559,549,37,1,4260,1853,163,6,176,0,436345,73,84
"1936","CHA",920,873,5466,1597,283,56,60,861,107,0,26,685,38,419,68,29,128,0,1280,257,766,757,32,0,4095,1829,169,11,174,1,5466,1605,285,61,104,823,77,0,23,580,56,416,58,45,130,0,1178,291,795,788,47,7,4084,1698,188,14,159,2,NA,83,70
"1936","CHN",755,603,5409,1545,277,36,76,707,137,0,32,491,30,464,68,60,126,0,1197,293,543,509,24,0,4147,1643,147,11,156,0,5335,1416,253,36,77,571,77,0,29,434,36,597,39,53,129,0,1125,315,637,600,37,5,4117,1756,197,8,159,0,NA,87,67
"1936","CIN",722,760,5393,1476,224,73,82,676,67,0,34,410,30,585,69,74,103,0,1072,315,643,643,35,5,4100,1844,191,12,149,0,5484,1580,336,61,51,706,101,0,27,418,34,459,48,51,112,0,1170,298,606,606,27,2,4110,1665,196,12,143,1,485417,74,80
"1936","CLE",921,862,5646,1715,357,82,123,852,77,0,16,513,41,471,68,57,111,0,1174,312,748,742,46,7,4168,1765,182,16,155,1,5544,1605,313,58,73,809,95,0,27,607,33,621,79,53,114,0,1243,294,817,809,40,2,4157,1761,181,9,145,0,NA,81,76
"1936","DET",921,871,5464,1638,327,55,94,849,88,0,34,646,37,464,74,48,115,0,1244,281,751,731,33,2,4080,1465,156,15,163,1,5422,1568,291,55,100,821,86,0,20,561,25,527,60,30,134,0,1138,299,808,791,36,2,4067,1424,163,14,155,1,941869,83,71
"1936","NY1",742,621,5448,1529,242,48,97,691,123,0,35,432,38,452,31,32,110,1,1188,302,536,518,29,0,4154,1926,170,5,164,1,5367,1468,171,44,75,590,85,0,21,402,52,499,41,57,132,1,1101,314,629,610,29,3,4109,1630,176,12,126,0,1002958,92,62
"1936","NYA",1065,731,5590,1676,315,83,182,997,67,0,33,700,27,594,78,43,108,0,1200,274,649,642,34,0,4201,1667,163,7,149,0,5450,1474,254,50,84,688,76,0,13,663,23,624,47,45,107,2,1272,323,946,919,53,5,4125,1747,182,14,160,1,1160776,104,51
"1936","PHA",714,1045,5373,1443,240,60,72,665,74,0,19,525,18,592,61,45,100,1,1153,284,906,840,68,7,4057,1719,209,24,152,0,5490,1646,326,87,131,956,91,0,24,696,7,405,102,39,99,0,1199,256,611,576,36,3,4125,1723,178,5,165,1,NA,54,100
"1936","PHI",726,874,5464,1538,250,46,103,689,103,0,21,453,23,586,51,51,110,0,1167,323,706,664,30,2,4092,1628,250,6,146,0,5578,1630,281,54,87,808,83,0,37,514,41,455,53,45,125,2,1248,310,632,600,24,1,4148,1605,170,10,141,1,NA,54,100
"1936","PIT",804,718,5586,1596,284,80,60,736,83,0,26,517,43,502,38,45,109,0,1242,293,606,598,29,1,4186,1600,199,4,114,0,5488,1469,238,62,74,655,104,0,23,378,22,565,70,53,86,1,1090,321,683,673,23,0,4166,1673,209,3,138,0,NA,86,70
"1936","SLA",804,1064,5391,1503,299,66,79,763,72,0,19,625,6,631,64,25,97,1,1199,348,942,883,45,5,4045,1580,188,9,143,0,5653,1776,340,99,115,1000,72,0,47,609,28,401,70,28,79,0,1272,280,724,680,41,3,4105,1500,161,14,157,1,NA,57,98
"1936","SLN",795,794,5537,1554,333,60,88,734,71,0,15,442,62,577,71,56,114,0,1102,321,699,696,44,2,4190,1490,156,10,136,1,5572,1610,282,55,89,743,120,0,34,438,38,559,43,49,105,1,1181,309,663,657,32,3,4168,1617,194,7,140,0,558056,87,68
"1936","WS1",889,799,5433,1603,293,84,62,825,61,0,24,577,6,403,108,42,90,1,1193,265,686,638,40,4,4037,1577,181,7,163,2,5304,1484,274,75,73,720,71,0,22,587,-4,463,76,46,96,0,1148,303,766,681,41,5,4014,1575,185,14,146,0,NA,82,71
"1937","BOS",821,775,5353,1506,268,64,100,772,104,0,26,603,21,559,82,65,120,0,1165,286,678,638,22,3,4099,1477,176,8,139,0,5443,1518,274,87,92,717,78,0,16,596,35,681,63,36,90,1,1260,291,714,691,21,1,4100,1713,189,12,168,0,NA,81,73
"1937","BRO",616,772,5295,1401,259,53,37,555,109,0,20,470,32,584,69,71,123,0,1132,315,624,575,27,6,4089,1590,218,19,129,0,5360,1471,253,83,68,707,111,0,21,477,30,595,65,61,104,0,1108,285,515,488,28,0,4146,1746,181,10,149,0,489437,63,92
"1937","BSN",579,556,5124,1266,201,41,63,533,113,0,18,484,45,707,47,36,118,1,1096,255,486,454,11,2,4079,1728,157,5,134,1,5184,1343,221,44,60,522,96,0,11,372,28,387,32,61,117,0,1028,286,494,435,28,4,4065,1631,165,8,144,0,NA,79,73
"1937","CHA",780,730,5277,1478,280,76,67,726,111,0,19,549,25,450,70,37,113,2,1153,262,624,612,24,1,4054,1715,173,11,174,0,5268,1435,225,65,115,684,81,0,17,532,41,535,59,46,124,0,1114,293,675,654,31,6,4025,1699,164,10,158,0,NA,86,68
"1937","CHN",811,682,5349,1537,253,74,96,762,119,0,22,538,38,497,73,75,116,0,1136,302,614,590,35,2,4142,1666,151,12,142,0,5374,1434,231,57,91,634,78,0,22,502,39,596,47,59,118,0,1152,313,716,695,26,2,4081,1743,176,12,144,2,1003386,93,61
"1937","CIN",612,706,5230,1328,215,59,73,568,72,0,24,437,29,586,53,73,136,0,1025,317,593,593,34,3,4074,1863,208,17,143,0,5282,1428,267,70,38,648,97,0,19,533,34,582,77,60,122,1,1152,277,532,532,27,0,4126,1778,164,11,157,0,449908,56,99
"1937","CLE",817,768,5353,1499,302,76,103,754,96,0,21,571,48,554,79,53,90,0,1148,316,665,648,18,5,4094,1783,162,7,153,0,5361,1529,283,71,61,710,97,0,25,566,16,630,82,55,102,2,1189,286,700,671,27,3,4076,1668,168,11,137,0,NA,84,72
"1937","DET",935,841,5516,1611,309,62,150,872,70,0,22,656,33,711,89,47,95,2,1227,287,750,747,23,5,4134,1521,147,19,149,0,5449,1521,310,45,102,791,74,0,24,635,18,487,76,33,122,0,1207,298,800,797,35,4,4104,1451,185,16,142,0,1152400,90,65
"1937","NY1",732,602,5329,1484,250,41,111,679,91,0,31,413,38,493,47,53,105,1,1101,294,520,496,30,2,4083,1757,160,7,148,1,5191,1341,174,50,86,560,99,0,21,405,48,653,40,58,128,1,1032,321,601,571,27,7,4032,1556,185,14,124,0,1022006,95,57
"1937","NYA",979,671,5487,1554,283,73,174,920,61,0,34,709,46,610,61,36,120,0,1192,257,565,563,16,3,4188,1697,170,7,134,1,5426,1417,239,59,92,629,73,0,12,506,27,652,51,44,105,0,1158,311,862,861,37,4,4120,1629,176,15,161,0,1118444,104,53
"1937","PHA",699,854,5228,1398,278,60,94,649,70,0,5,584,18,557,94,53,118,1,1133,297,722,718,41,3,4005,1703,198,16,151,0,5304,1490,305,61,105,786,83,0,18,614,17,469,75,44,112,1,1161,276,610,602,18,2,4056,1731,155,9,156,1,523065,55,99
"1937","PHI",724,869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,92
"1937","PIT",704,647,5433,1550,224,87,47,653,89,0,11,463,46,484,34,34,111,1,1214,303,532,507,21,0,4099,1717,183,5,134,1,5296,1400,221,62,71,585,80,0,19,429,22,644,101,71,103,0,1078,299,604,587,23,1,4079,1748,168,11,130,0,517893,86,68
"1937","SLA",715,1023,5510,1573,326,44,71,683,85,0,14,514,8,510,30,29,124,0,1235,313,912,835,34,0,4089,1665,172,9,166,0,5602,1770,358,81,143,971,100,0,30,653,46,468,85,45,94,1,1274,262,632,591,18,3,4173,1608,152,13,180,0,NA,46,110
"1937","SLN",789,733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,548941,82,75
"1937","WS1",757,841,5578,1559,245,84,47,694,67,0,23,591,17,507,61,41,91,0,1297,280,713,670,26,6,4196,1568,173,15,184,0,5449,1498,297,70,96,782,78,0,22,675,16,536,75,58,122,0,1187,281,636,564,17,3,4205,1630,182,6,148,0,NA,76,82
"1938","BOS",902,751,5229,1565,298,56,98,862,112,0,13,649,10,466,55,53,107,0,1188,297,653,578,19,4,3949,1458,188,7,171,1,5234,1472,300,42,102,703,84,0,20,530,14,486,64,36,108,0,1168,271,798,698,35,1,3913,1540,160,9,175,0,695700,89,61
"1938","BRO",704,710,5142,1323,226,79,61,650,80,0,20,611,27,615,66,53,113,3,1137,306,603,583,39,3,3992,1530,159,14,148,0,5255,1464,279,65,88,661,78,0,29,447,32,471,49,40,121,3,1110,298,593,547,26,2,4015,1586,179,11,135,0,746937,69,82
"1938","BSN",561,618,5250,1311,199,39,54,519,78,0,23,424,14,548,49,39,129,1,1085,262,521,465,17,2,4133,1646,173,6,139,0,5325,1378,218,56,66,581,90,0,30,468,0,414,31,41,107,1,1163,285,469,411,20,4,4130,1703,186,13,157,0,415888,78,75
"1938","CHA",709,752,5200,1439,239,55,67,655,78,0,14,517,-5,490,58,40,80,0,1122,233,639,555,23,3,3949,1565,195,10,157,0,5192,1449,259,61,101,712,106,0,19,550,26,434,59,46,94,0,1166,264,619,533,28,3,3978,1637,148,4,154,0,NA,65,84
"1938","CHN",713,597,5333,1435,242,70,65,672,88,0,29,522,47,475,52,50,146,2,1133,302,521,505,32,5,4164,1687,134,11,154,0,5368,1414,237,38,71,562,80,0,16,452,50,584,39,32,129,2,1157,316,601,585,30,2,4128,1704,167,20,178,0,1064800,91,63
